Income,CreditScore,LoanAmount,Approved
59426,670,24313,0
62063,698,6826,0
193678,664,70226,1
82775,569,41159,0
41086,752,23280,0
106814,737,37816,0
70051,636,31428,1
101452,587,12324,0
44633,631,13268,0
57669,698,34938,0
26294,599,6859,0
32190,654,3863,0
54991,630,20204,0
42834,568,11675,0
52266,609,23291,0
53269,646,16518,0
64499,708,34413,0
113188,747,61301,0
57307,709,21303,0
166600,746,85576,0
45085,603,6830,0
38821,552,4727,0
70833,617,34788,0
57608,564,26198,0
36299,777,4440,1
47168,598,11898,0
38353,756,14820,1
46904,604,25575,0
100788,649,39376,0
86091,673,35711,0
107236,654,31801,0
64736,604,20736,0
79651,832,10820,1
59382,679,14703,0
51748,748,13509,0
51198,701,14743,0
43982,685,16929,0
97440,562,22292,1
130241,642,74300,0
57672,495,21769,0
78236,655,23782,0
136749,599,49510,0
67948,707,23887,0
76129,724,38670,0
40492,638,13587,1
42703,568,15904,0
46116,664,7800,0
84608,577,28672,0
28093,771,8176,0
149669,643,48455,0
172446,634,64404,0
70254,578,34294,0
75073,574,40424,0
37836,717,11516,0
78929,744,12953,1
43577,586,7258,0
53833,640,25421,0
93235,612,19148,0
52177,619,9748,0
52326,772,12552,1
80980,596,45464,0
51795,635,15855,0
63698,583,21858,0
77473,575,15402,0
69448,584,7493,0
78331,651,28474,0
21503,642,11314,0
44014,677,16782,0
95688,632,50233,0
55523,827,33910,0
69438,576,37113,0
63042,684,20400,0
25910,679,12770,0
82705,749,44024,0
48971,524,11281,0
51051,654,12182,0
76177,464,9856,0
56127,742,14360,1
102522,578,38835,0
46541,649,13744,0
61911,548,24467,0
29356,672,9251,0
30787,628,3554,0
65648,689,23385,1
37668,704,5119,0
100524,567,10984,0
153027,643,43500,0
101940,716,12496,0
47936,669,22878,0
78939,724,43202,0
48029,647,20111,0
77953,690,28127,0
38447,734,17170,0
74735,651,16810,0
79059,719,40649,0
83831,767,25876,1
32595,687,7717,0
84504,558,19773,0
28901,585,5481,0
77030,449,38031,0
89860,656,26668,1
44082,506,9573,0
250000,674,93004,1
50664,548,24415,0
80524,515,16383,0
121886,698,56536,0
57542,768,15620,0
39333,697,14723,0
53348,810,15593,1
66292,822,23563,0
108058,773,34147,1
50524,638,18953,0
43553,825,13332,0
64899,627,32010,0
80570,597,13316,0
26089,483,8442,0
112779,662,33363,0
32020,739,9236,0
90929,655,30045,0
129998,680,17780,1
39337,631,19324,0
57250,570,31906,0
165388,704,70906,0
81081,581,8873,1
39140,715,12381,0
92974,726,10423,1
63723,702,8100,0
131712,819,35414,0
85251,685,38738,0
28429,588,4282,0
91931,760,56511,1
48103,581,26169,0
64272,758,38321,0
97827,739,50279,0
101570,703,48059,0
51580,645,9272,0
69810,690,7079,1
29750,617,6795,0
69497,716,20060,1
48015,724,14943,0
42010,681,8991,0
71123,700,41318,0
104373,690,26923,1
46416,843,12041,1
63945,606,12956,0
97209,723,38986,0
88782,713,52157,0
86560,620,42401,0
56503,761,24399,1
99935,657,58736,0
55655,621,30076,0
76354,549,25590,0
78494,773,34701,1
47515,728,4531,1
66123,633,24775,0
60682,664,20690,0
43484,551,12909,0
63385,543,14639,0
85199,694,44932,0
76557,706,13746,1
197690,644,39932,1
33010,633,12922,0
73029,658,32368,0
179972,682,96362,1
50741,663,11152,0
68970,565,25003,0
130515,591,62481,0
43327,685,6424,1
29260,670,10166,0
41296,692,18430,0
64398,748,16655,1
37968,691,19323,0
65543,652,28285,0
108589,666,51470,0
44634,659,7656,0
144633,615,20310,0
96406,639,47942,1
94352,685,48572,0
61241,648,30437,0
22234,591,9530,0
48174,613,8952,0
38490,632,9482,0
52061,742,28462,0
75745,778,44745,0
89920,619,46117,0
168318,658,56247,0
47922,538,14035,0
66095,716,38800,0
126735,622,39503,0
57832,599,16961,0
22953,639,5840,0
71780,587,7616,1
97507,744,15283,0
76869,624,42086,0
76217,614,20385,0
42379,610,8435,0
63672,759,13548,0
60660,717,28650,1
20000,682,3158,0
81438,692,29488,1
79937,648,35933,0
41137,592,5145,1
104504,513,26829,0
55032,645,20018,0
94649,681,41828,0
77439,561,33952,0
130228,640,18468,1
75801,850,47204,1
123932,619,32853,0
41342,676,20308,0
79306,657,23514,0
32421,605,7639,0
68067,610,26954,0
75494,612,37825,0
36949,535,10824,0
36760,648,16255,0
70543,612,30975,0
90021,759,36090,1
61580,696,21364,0
56671,728,26696,0
65465,709,35294,0
62744,752,34478,0
59300,790,18990,0
53672,588,27946,0
62605,713,33237,0
67742,679,16472,0
60715,742,21422,0
84841,727,18035,1
145276,653,65850,1
66994,624,38816,0
123104,651,54096,0
71311,704,16000,1
141225,638,64020,0
53739,688,20915,1
40010,775,12497,0
53146,682,23379,0
76154,680,39319,0
42718,594,17645,0
56807,721,27409,0
55978,657,28357,0
49780,659,20562,0
24049,677,13215,0
95084,654,10231,1
35619,683,3656,0
47122,582,8148,0
73433,628,26342,1
53375,724,10385,0
68604,693,41133,0
51193,524,15640,0
65197,678,13007,0
76668,709,39467,0
92779,727,16940,1
142049,527,71983,1
72732,734,40493,0
48672,850,7150,1
41099,818,8469,1
96286,651,9332,0
114661,720,16332,1
46584,623,25859,0
86454,611,20312,0
176870,625,99953,0
144556,729,31146,0
167636,746,55104,1
52824,649,4565,1
116749,686,33001,0
35990,721,16213,0
51521,568,27724,0
43233,639,23135,0
78435,556,24381,1
92884,691,17278,0
122631,680,27404,1
91868,690,28347,1
88877,708,17145,1
45402,776,11774,1
63406,721,8707,1
54189,643,10787,0
74873,734,20370,0
84294,683,30580,0
55156,579,17220,0
66068,685,26878,1
82635,543,45050,0
85362,452,23003,0
117500,754,26926,0
56320,622,17547,0
116892,704,42136,0
60150,542,31502,0
68595,584,15163,0
52973,586,20020,1
53084,708,21563,0
54804,645,29402,1
92383,481,18882,0
76887,677,45075,0
91714,620,26659,0
47890,705,23180,0
108380,540,16814,0
65396,742,6925,1
45540,526,23149,0
24186,544,3361,1
51002,647,8927,0
72063,732,35021,0
49596,786,9002,1
92517,641,8828,0
160019,726,65038,1
24378,583,9595,0
56147,834,13257,1
141599,622,47861,0
99274,671,41430,0
54596,850,24967,0
34334,737,19343,0
116511,590,50505,0
58652,554,5732,0
69619,642,24623,0
67418,597,33279,0
49482,690,24992,0
30280,692,7915,1
41998,604,10330,0
22327,774,7743,0
207002,792,75894,0
57065,718,6713,0
45802,568,23657,0
39482,703,19488,0
73499,645,16395,0
62825,645,8156,0
77255,722,8445,1
58852,634,14473,0
31045,610,13199,0
40841,609,15246,0
92816,619,35213,0
20000,767,5709,1
59011,644,26809,0
43421,611,17552,1
96061,627,55649,0
73356,645,31711,0
52995,607,22533,0
41289,657,17406,0
71443,667,32344,1
48603,619,10420,0
29899,644,10012,0
107114,670,9451,0
75773,726,35685,1
50870,698,30569,0
63039,660,14732,0
37389,669,5056,0
75673,600,29322,0
43199,713,25588,0
36002,683,17898,0
76345,547,40212,0
55478,686,10041,1
58090,543,23443,0
60497,645,26603,0
105872,715,40759,0
79245,535,9882,0
48314,633,20412,0
117566,675,48942,1
64450,648,37011,1
35667,605,11015,0
49156,681,15580,1
64621,712,24569,1
29267,696,11964,0
65530,563,16718,1
43917,488,14618,0
61184,642,28538,0
31641,614,17714,0
68811,693,11053,0
78721,663,31239,0
112331,524,46481,0
26430,685,13707,0
95271,548,13757,0
66621,493,33675,0
63281,691,24471,0
40694,628,15607,0
65336,816,33746,1
62326,629,18090,0
85451,605,36988,0
73882,508,27098,0
45144,758,27332,0
81106,637,11589,1
62746,611,28372,0
22024,582,10427,0
76605,650,17644,1
151588,606,34638,0
99578,660,48939,0
110919,781,43535,1
39192,679,20104,0
101768,501,43281,0
92845,711,16862,0
48517,636,16594,0
57393,718,12801,1
78721,722,13405,1
84635,552,21233,0
54278,656,9724,1
65443,618,12670,1
53056,642,10347,0
41896,571,22733,0
113722,582,39092,0
39839,629,21195,0
79959,658,13675,0
66948,752,33784,0
60891,695,22315,0
81419,585,10172,1
108674,667,41241,1
47939,595,4375,0
70062,592,26897,0
81071,804,12328,1
54955,726,27088,0
51199,559,7487,0
107762,665,61960,0
150777,522,50840,0
76371,781,46360,0
52940,595,8551,0
89581,579,15210,0
60824,643,8197,0
64046,677,9791,0
28873,703,9322,0
45314,611,16421,0
50723,706,10351,0
47750,652,7340,0
111886,610,39756,0
109365,700,58418,1
67684,673,8496,1
65373,630,24495,0
136485,561,76192,0
90866,620,17707,0
83792,563,22717,0
148489,670,73993,0
38223,606,21000,0
63722,666,12617,0
38062,699,21287,0
62269,664,6858,0
41098,510,19097,0
67750,631,27825,0
133466,578,69406,0
27547,642,9083,0
76392,679,9689,0
49427,685,13544,0
44326,695,14954,0
49805,539,23541,0
28431,706,3101,0
40943,740,7616,0
77490,769,34798,1
36371,664,21504,0
94956,670,40201,0
84578,607,25917,0
46292,689,24591,0
60436,682,8275,0
71277,669,10457,0
31648,563,15099,0
119025,579,12281,0
22603,640,10873,0
84793,658,11509,1
63523,534,30696,0
106297,694,52772,0
95249,759,24854,1
30250,647,9040,0
37785,797,19162,0
99256,585,20400,0
43224,719,20552,0
105846,540,16562,0
57879,688,21508,0
78618,658,10407,1
116356,648,13728,1
78106,626,43319,0
78841,552,13924,0
90286,749,33062,1
90754,671,26191,0
68474,680,15977,0
106255,664,61228,0
71976,739,16479,1
78528,608,43867,0
153503,731,51176,1
47928,630,26878,0
52463,586,6266,0
63205,527,31448,0
122247,688,65731,0
47874,766,20350,1
97284,554,32919,1
62699,566,19901,0
41245,703,8414,0
62674,619,20865,0
77379,765,26267,0
71314,633,27869,0
68274,548,17338,0
30807,669,8522,0
52823,717,11043,1
51521,722,16317,0
39468,796,14859,0
89039,646,32799,0
50448,778,17699,0
61326,701,16921,0
101851,688,54482,0
37578,655,15569,0
90916,610,40577,0
57151,573,22052,0
46244,519,5194,0
47811,587,10711,0
75763,509,18670,0
120019,701,22075,1
109361,758,14684,1
124187,607,11994,1
81251,647,33738,0
53455,693,12559,0
98166,449,30985,0
20000,680,8907,0
79724,586,26824,0
51899,577,17771,0
60559,646,5188,0
97884,714,32754,1
63849,593,12486,1
55068,676,20602,0
24180,594,5106,0
27675,697,15492,0
79333,644,23241,0
46029,514,17219,0
40776,656,4536,0
49616,664,11083,0
81689,701,21731,1
56825,721,14942,0
81740,602,40509,0
86747,659,41259,0
94658,648,30081,0
161884,630,51861,0
52463,635,29037,0
38381,634,7072,0
93064,731,24329,1
53413,719,26893,1
61998,628,10116,1
244425,673,145800,0
136961,688,81335,0
180075,689,56564,1
81615,756,28670,1
38524,770,7490,1
41885,628,22607,0
52471,790,15395,1
77168,656,40101,0
31551,663,13281,0
54157,555,20181,0
73455,651,25696,1
87509,685,29525,1
90856,614,37125,0
80098,582,9343,0
41774,726,23331,1
134245,588,57283,0
40364,686,23172,0
66990,594,25977,0
90318,641,12489,0
53081,571,8597,0
57955,516,8833,0
60731,558,14326,0
92996,850,46999,0
69158,667,14944,0
60774,480,24700,0
75765,714,18657,1
144804,647,32516,0
116904,662,31216,1
50847,667,10441,0
38455,756,18419,0
91815,590,48120,0
36671,623,4114,0
34205,636,10035,0
94024,592,8315,0
57048,567,5781,0
37741,654,17200,0
58597,674,20224,0
49722,671,18824,1
59700,673,20504,0
46738,569,18450,0
91209,618,18788,1
89138,679,38490,0
54707,635,20888,1
61692,783,12413,1
37664,689,3749,1
67440,593,21460,0
25927,642,2454,0
74171,679,36495,0
34937,704,8026,0
161591,800,72718,1
41382,668,21867,0
40029,485,3490,0
67253,695,19621,1
54156,611,30633,0
123695,611,63900,0
68945,743,30338,1
81958,780,17698,1
104166,601,15746,0
39422,637,13688,0
104187,479,13622,0
58071,586,17272,0
29484,688,14177,0
42892,680,8829,1
81463,618,27098,0
84422,571,41476,0
45948,775,4609,1
50090,676,29707,0
64257,596,18034,1
87146,665,21416,0
103049,499,45274,0
52376,626,5535,0
66571,641,22913,0
39786,555,10756,0
103952,559,11144,0
56823,698,8350,0
40218,605,15010,0
42624,664,9107,0
78786,712,21957,0
42356,704,15028,0
55878,669,20960,0
27480,486,7377,0
94528,624,14161,1
73778,623,23017,0
67233,691,26357,0
60283,613,22899,0
71558,519,7292,0
73496,600,36821,0
94286,671,28260,1
91468,639,39480,0
85117,555,44614,0
50856,677,14306,1
57373,639,24853,0
67919,689,30342,0
62420,850,16103,1
48226,561,26837,0
33811,545,10594,0
86853,637,49947,1
58838,551,5068,0
29104,610,6847,0
80818,633,8040,1
53344,548,21293,0
124212,545,62381,0
36057,662,10695,0
94030,640,33276,0
132784,586,68157,0
107580,850,48341,0
71105,692,28123,0
125617,643,36839,0
44919,667,25642,0
54734,678,30399,0
31992,523,9997,0
70503,744,37241,0
76073,769,36742,0
91811,824,43778,0
35747,654,3909,0
77704,593,40212,0
46818,620,11346,0
45943,648,18351,0
45866,663,11388,1
81004,651,32017,0
61829,679,20324,0
60658,567,29263,0
74068,593,35636,0
86241,774,29684,1
62141,629,26444,0
62779,674,25270,0
49256,797,22555,0
111537,734,30797,1
71292,666,9911,0
91307,571,30844,0
54496,543,18480,0
56732,689,27934,0
105782,558,20490,0
72671,580,25471,0
187679,604,50543,0
74466,714,41833,0
36477,507,9429,0
31084,610,16576,0
119086,739,72869,0
122077,694,34068,0
95663,695,51077,0
32721,598,8842,0
72066,690,23995,1
20000,673,11935,0
63826,613,36523,0
78443,523,28329,0
39272,686,14606,0
56667,572,27712,0
65147,590,22693,0
77691,536,11406,0
97197,663,12269,0
35593,640,4429,0
90842,460,9062,0
97438,566,42199,0
54910,643,30136,0
97125,729,17393,1
74363,682,9655,0
94641,691,50249,1
45199,695,17828,1
52461,642,17246,0
99451,766,13645,1
39915,657,12335,0
28053,595,7050,0
81247,687,19741,0
98617,716,28418,0
63525,658,35316,0
75309,642,41112,0
120804,779,33124,1
26501,577,7176,0
134042,608,33451,0
37644,624,15753,0
37431,662,6905,1
135523,710,79301,0
78016,675,32996,0
250000,619,131920,0
45475,749,26529,0
36267,608,16761,0
91926,637,51776,0
59390,673,33351,0
39872,729,8178,0
69957,751,23032,0
30590,751,7138,0
135467,605,45576,0
64176,723,32259,0
104411,541,36311,0
46158,564,24934,0
128830,712,16881,1
116575,659,32757,1
76078,669,9894,0
80288,692,31662,0
31190,762,8015,0
103851,671,11995,0
132558,649,41985,0
91275,500,8682,0
81367,568,42472,0
77720,661,18835,0
62402,671,24249,0
35517,666,17619,0
79693,600,44683,0
169710,593,24054,1
52390,613,18694,0
96043,736,8986,1
26143,658,14000,0
184534,632,74560,0
21703,602,8300,1
39663,750,20184,0
34670,618,4560,0
100721,675,42750,0
63460,776,28897,1
76006,588,36002,0
99723,677,14624,0
98893,627,41658,0
89477,694,12419,0
102684,666,34212,0
61416,733,9962,0
49948,641,7683,0
62540,625,15960,0
95064,583,15655,0
111487,571,62462,0
93251,635,19425,0
114605,529,40868,0
68825,671,22515,0
30160,647,9859,0
102244,656,9448,0
41554,746,5778,1
39118,728,4016,1
45911,553,11794,0
135912,793,37401,1
60102,718,35191,0
189646,785,93563,1
49499,725,13966,1
68240,637,39311,0
36684,601,19922,0
82979,614,34820,0
38846,697,13215,0
87274,623,42003,0
62742,751,35814,0
36722,497,11631,0
67440,654,17618,0
76099,790,16727,0
78589,709,21038,0
46742,603,14100,0
46152,514,14000,0
52772,735,24651,0
101558,797,18020,1
38708,691,7091,0
38417,692,10205,0
67433,596,18915,0
39223,810,10619,1
41770,589,22616,0
69486,660,25918,0
56295,631,8689,0
50744,490,23413,0
84459,681,19434,1
68570,823,32088,1
65738,608,35990,0
57312,743,31222,0
56665,527,27664,0
89200,816,57445,0
28070,727,15785,0
69967,635,13216,0
80744,510,21827,0
126157,740,20579,1
52974,785,28986,0
70787,687,7187,1
106015,560,29719,0
78759,520,10612,0
102197,512,37761,0
77070,590,25585,0
89370,711,48955,1
45469,674,13712,0
55580,477,17202,0
49617,617,22634,0
79733,605,10410,0
66471,545,20588,0
46155,710,18885,0
67810,798,26826,0
37413,773,22134,0
51738,714,26731,0
89412,586,8629,0
45486,749,7176,1
82445,670,8948,1
103482,525,11085,1
52995,588,24516,0
44662,541,5497,0
56512,529,10897,0
31211,650,2899,1
46656,726,28119,0
41642,596,17843,0
73518,696,19992,0
48854,638,6922,0
92876,715,13906,1
72750,667,42473,0
68928,680,8483,0
61305,612,10559,0
64533,548,7801,1
53894,692,7573,0
113191,460,14835,0
82711,521,34032,0
28270,603,8951,0
56333,590,12301,0
43404,544,6251,1
49006,652,7989,0
149918,663,63396,0
49111,601,24760,0
34563,601,9247,0
96887,694,43922,0
24090,614,10047,0
90823,653,29640,0
65554,451,22945,0
111853,657,11233,1
96918,649,51841,0
40436,633,10647,0
76694,590,40297,0
51781,569,4720,0
52118,503,10478,0
55678,583,20022,0
25130,604,11525,0
74711,726,23864,0
114491,645,67132,0
28541,673,3824,0
40553,773,14161,1
125133,705,30754,0
58079,673,23602,0
83311,722,8270,0
125977,694,59465,0
133836,837,58819,0
57770,586,14977,0
27576,585,6289,0
28498,697,8605,0
75642,670,29770,0
44935,654,14406,0
56529,790,6396,1
44519,686,7937,0
130418,546,11730,0
29025,758,8988,1
74291,531,38759,0
71773,815,16766,0
51626,596,24613,0
72320,649,21612,1
61052,595,22621,0
50832,571,25640,0
44809,474,20063,0
141857,757,72944,1
68946,608,38257,0
85537,749,25509,0
52823,540,24718,0
155292,743,47628,1
123634,562,34454,0
88657,589,42377,0
62633,732,7362,0
105129,700,43580,0
98580,707,51426,0
152435,667,50349,0
35990,587,17415,0
43688,714,25492,0
185631,790,115996,1
78359,585,16347,1
34770,696,11236,0
88258,610,44596,0
82233,651,24009,1
52195,529,13187,0
62913,540,8996,0
104610,623,47036,0
54913,535,27821,0
87848,705,36126,0
57121,666,33093,0
70696,477,33524,0
48137,646,7554,1
93693,644,50030,0
118707,715,13888,1
34635,424,16594,0
44421,745,15506,0
91953,694,21074,0
76188,728,45891,0
71381,764,32549,0
81824,710,32493,0
88394,773,39678,0
39287,719,18650,0
69553,753,18359,1
55816,682,9986,0
89958,661,42126,0
36567,590,10714,0
40815,725,21542,0
60611,732,20722,0
50932,689,15877,0
37918,554,11426,0
77057,544,25299,0
38599,653,12630,0
112984,643,13997,1
38385,673,5193,0
69769,649,23683,1
75673,681,13693,1
44521,543,16692,0
48330,681,22762,0
66758,684,22227,0
75764,681,30682,0
46749,622,10960,1
92284,580,36517,0
56930,662,13619,0
63679,603,10497,1
55557,607,20190,0
92322,624,52690,0
102231,591,32714,0
77889,629,32920,0
62909,573,14713,1
109371,636,35193,0
109197,645,25153,1
55557,635,10825,0
47576,710,7486,1
142735,558,61560,0
74104,649,11176,1
71178,539,19651,0
53659,664,28673,0
35974,654,14322,0
48784,612,5214,0
52611,709,23620,0
101498,722,33475,0
96181,614,53038,0
141335,687,33668,1
66116,627,8861,0
56053,697,17022,0
23202,584,5750,0
39024,652,16452,0
91178,579,17543,0
58045,508,25857,0
117120,688,49010,0
105570,588,29337,0
68984,642,31601,0
85123,625,15870,0
123236,572,51418,0
93635,671,9903,1
126834,710,19617,0
54083,564,23994,0
71416,621,33419,0
37811,601,4034,0
43024,600,19093,0
147256,551,36378,0
140528,629,58959,0
66325,603,32282,0
62884,737,17988,0
74888,604,24572,0
33236,686,11292,0
87055,732,13789,0
89333,735,18113,1
74219,721,8208,1
48373,717,24380,0
69903,774,14597,0
64362,553,15868,0
56000,503,24524,0
100002,585,45187,0
61532,507,14066,0
80600,697,16835,1
138286,744,60075,0
94455,572,43892,0
68592,604,26538,0
29113,632,5222,0
33329,712,17024,0
60040,597,30263,1
59817,692,13211,1
44815,599,6886,0
41156,612,15915,0
57365,675,17113,0
37207,687,17682,0
63593,685,18173,1
34488,578,9616,0
97737,698,57456,0
41871,664,12281,1
74143,588,40980,0
68352,720,6145,1
92957,607,52171,1
124050,533,32033,0
83131,567,27119,1
99186,626,14453,1
69055,721,21849,0
109114,622,23348,0
61929,587,34662,0
60153,765,26457,1
54084,661,23135,0
100794,675,12776,1
141892,544,56479,0
56890,663,5164,0
119192,535,21935,1
57615,602,25061,0
64514,608,14303,0
79551,696,23333,0
72227,781,28335,0
76256,625,11305,1
42222,639,8421,0
85116,548,34802,0
42130,441,11614,0
37674,581,16928,0
48419,665,14538,0
30582,771,18977,0
41945,669,7158,1
72390,515,25609,0
54803,667,7760,1
57078,583,30778,0
96127,765,41188,0
38467,666,5829,0
60959,628,24157,1
88713,630,11758,0
38855,721,16943,1
41968,726,11274,0
96977,579,23343,0
30470,771,5990,0
74961,705,23074,0
61430,658,14996,0
20000,625,9395,0
51915,644,19735,0
32494,657,16540,0
60317,700,29919,0
99380,806,63071,0
47712,751,15015,1
54984,626,5804,1
37364,658,21252,0
82073,772,15729,0
57977,686,13757,1
86186,657,9343,1
49005,740,13274,0
41876,571,5658,0
53322,690,30587,0
86145,547,22364,0
72591,521,16828,1
94733,621,11811,0
74393,525,28312,0
64868,643,16025,0
110219,591,30629,0
69525,652,13678,1
103388,596,37418,0
52360,798,8745,1
60844,577,23224,0
62303,608,29855,0
58189,661,15630,1
111860,757,48814,0
48735,620,23791,0
35977,706,21894,0
137448,658,32703,0
93785,645,27154,0
81570,523,12150,0
28052,640,9063,0
161617,636,77747,0
22784,568,9488,0
59556,581,8598,0
96092,720,29739,0
46404,585,4352,0
109521,634,43758,0
121518,700,35381,0
49624,644,18442,0
32824,762,11627,1
52289,673,22174,1
31970,720,9755,1
33992,781,11977,1
45364,543,13816,0
147856,699,51604,0
43387,487,20737,0
81297,623,18477,0
58081,635,22732,0
46543,589,24204,0
45118,689,13121,0
40643,739,9969,0
112748,668,66794,0
50895,736,11408,0
62984,607,17062,0
102475,533,8700,1
104895,649,12603,0
89327,564,8047,1
46196,627,21453,0
42848,669,8452,1
77230,603,37161,0
57530,515,5940,1
160355,716,34341,1
55631,619,23104,0
88319,689,12661,1
68958,717,13640,0
46108,685,11543,0
62823,717,32449,0
58320,662,22775,0
33503,712,20328,0
104053,764,28131,1
100383,630,51099,0
46956,587,18478,0
37952,613,19968,0
138515,631,37614,1
46358,632,4812,0
250000,645,56344,1
98900,583,54958,0
97018,655,52830,0
34918,743,16528,0
56799,642,29643,0
33956,653,5347,1
29987,735,6456,1
83650,498,34223,0
46609,632,18734,0
82304,730,49671,0
41069,528,17873,0
34716,646,16223,0
70889,642,22547,0
50894,593,6003,1
63200,654,21429,0
59478,661,33519,0
53653,587,15077,1
110328,573,39061,0
60847,753,22130,0
104979,588,41862,0
82642,784,36035,0
99905,680,22124,0
78401,502,36481,1
117056,539,59933,0
127259,602,36974,0
49451,644,28269,0
57033,520,23827,0
104081,731,28302,1
58006,788,5435,1
89427,639,36943,0
43284,636,7622,0
52942,602,9228,1
